symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
DAX,DE,03/30/17,150,15956.534,30,C,0.126803,0.000719
DAX,DE,03/30/17,150,8591.98,30,P,0.281177,-0.019278
DAX,DE,03/30/17,150,16570.248,35,C,0.127274,0.000138
DAX,DE,03/30/17,150,7978.267,35,P,0.302792,-0.01027
DAX,DE,03/30/17,150,17183.961,40,C,0.127274,0.000022
DAX,DE,03/30/17,150,7364.555,40,P,0.325392,-0.005337
DAX,DE,03/30/17,150,17797.674,45,C,0.127274,0.000003
DAX,DE,03/30/17,150,6750.842,45,P,0.347304,-0.002583
DAX,DE,03/30/17,150,18411.387,50,C,0.127274,0
DAX,DE,03/30/17,150,6137.129,50,P,0.374119,-0.001306
DAX,DE,03/30/17,150,19025.1,55,C,0.127274,0
DAX,DE,03/30/17,150,5523.416,55,P,0.402911,-0.000639
DAX,DE,03/30/17,150,19638.812,60,C,0.127274,0
DAX,DE,03/30/17,150,4909.703,60,P,0.434236,-0.000301
DAX,DE,03/30/17,180,12271.786,0,C,0.166264,0.523277
DAX,DE,03/30/17,180,12271.786,0,P,0.166115,-0.476744
DAX,DE,03/30/17,180,12885.375,5,C,0.151425,0.342498
DAX,DE,03/30/17,180,11658.196,5,P,0.182184,-0.321004
DAX,DE,03/30/17,180,13498.965,10,C,0.138824,0.176468
DAX,DE,03/30/17,180,11044.607,10,P,0.199194,-0.205213
DAX,DE,03/30/17,180,14112.554,15,C,0.12867,0.066604
DAX,DE,03/30/17,180,10431.019,15,P,0.217183,-0.126759
DAX,DE,03/30/17,180,14726.144,20,C,0.122708,0.019099
DAX,DE,03/30/17,180,9817.429,20,P,0.235991,-0.076454
DAX,DE,03/30/17,180,15339.732,25,C,0.12096,0.004876
DAX,DE,03/30/17,180,9203.84,25,P,0.255881,-0.045436
DAX,DE,03/30/17,180,15953.321,30,C,0.121685,0.001233
DAX,DE,03/30/17,180,8590.25,30,P,0.276247,-0.026459
DAX,DE,03/30/17,180,16566.912,35,C,0.122306,0.000279
DAX,DE,03/30/17,180,7976.661,35,P,0.296878,-0.014983
DAX,DE,03/30/17,180,17180.5,40,C,0.122894,0.000058
DAX,DE,03/30/17,180,7363.072,40,P,0.318157,-0.008241
DAX,DE,03/30/17,180,17794.09,45,C,0.122894,0.00001
DAX,DE,03/30/17,180,6749.482,45,P,0.340147,-0.004368
DAX,DE,03/30/17,180,18407.68,50,C,0.122894,0.000002
DAX,DE,03/30/17,180,6135.893,50,P,0.362418,-0.002181
DAX,DE,03/30/17,180,19021.268,55,C,0.122894,0
DAX,DE,03/30/17,180,5522.304,55,P,0.38578,-0.001025
DAX,DE,03/30/17,180,19634.857,60,C,0.122894,0
DAX,DE,03/30/17,180,4908.714,60,P,0.410345,-0.000444
DAX,DE,03/30/17,360,12266,0,C,0.173604,0.534348
DAX,DE,03/30/17,360,12266,0,P,0.173762,-0.46562
DAX,DE,03/30/17,360,12879.3,5,C,0.163341,0.413068
DAX,DE,03/30/17,360,11652.7,5,P,0.184748,-0.355207
DAX,DE,03/30/17,360,13492.601,10,C,0.153924,0.29217
