symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
SPX,CBOE,03/30/17,180,1895.142,20,P,0.214257,-0.061122
SPX,CBOE,03/30/17,180,2961.159,25,C,0.093281,0.000316
SPX,CBOE,03/30/17,180,1776.695,25,P,0.238127,-0.036536
SPX,CBOE,03/30/17,180,3079.605,30,C,0.093281,0.00003
SPX,CBOE,03/30/17,180,1658.249,30,P,0.262877,-0.022006
SPX,CBOE,03/30/17,180,3198.052,35,C,0.093281,0.000002
SPX,CBOE,03/30/17,180,1539.802,35,P,0.287993,-0.013152
SPX,CBOE,03/30/17,180,3316.498,40,C,0.093281,0
SPX,CBOE,03/30/17,180,1421.356,40,P,0.314716,-0.007905
SPX,CBOE,03/30/17,180,3434.944,45,C,0.093281,0
SPX,CBOE,03/30/17,180,1302.91,45,P,0.341145,-0.004561
SPX,CBOE,03/30/17,180,3553.391,50,C,0.093281,0
SPX,CBOE,03/30/17,180,1184.464,50,P,0.364391,-0.002332
SPX,CBOE,03/30/17,180,3671.837,55,C,0.093281,0
SPX,CBOE,03/30/17,180,1066.017,55,P,0.38851,-0.001121
SPX,CBOE,03/30/17,180,3790.283,60,C,0.093281,0
SPX,CBOE,03/30/17,180,947.571,60,P,0.38851,-0.000244
SPX,CBOE,03/30/17,360,2368.927,0,C,0.134686,0.511766
SPX,CBOE,03/30/17,360,2368.927,0,P,0.14218,-0.467302
SPX,CBOE,03/30/17,360,2487.373,5,C,0.119285,0.350166
SPX,CBOE,03/30/17,360,2250.481,5,P,0.158335,-0.339966
SPX,CBOE,03/30/17,360,2605.82,10,C,0.106209,0.189438
SPX,CBOE,03/30/17,360,2132.034,10,P,0.174757,-0.242103
SPX,CBOE,03/30/17,360,2724.266,15,C,0.098021,0.078645
SPX,CBOE,03/30/17,360,2013.588,15,P,0.19136,-0.169871
SPX,CBOE,03/30/17,360,2842.712,20,C,0.095133,0.028177
SPX,CBOE,03/30/17,360,1895.142,20,P,0.207991,-0.117563
SPX,CBOE,03/30/17,360,2961.159,25,C,0.094942,0.009539
SPX,CBOE,03/30/17,360,1776.695,25,P,0.225134,-0.080511
SPX,CBOE,03/30/17,360,3079.605,30,C,0.094942,0.002898
SPX,CBOE,03/30/17,360,1658.249,30,P,0.24235,-0.05424
SPX,CBOE,03/30/17,360,3198.052,35,C,0.094942,0.000793
SPX,CBOE,03/30/17,360,1539.802,35,P,0.260562,-0.036195
SPX,CBOE,03/30/17,360,3316.498,40,C,0.094942,0.000197
SPX,CBOE,03/30/17,360,1421.356,40,P,0.279466,-0.023759
SPX,CBOE,03/30/17,360,3434.944,45,C,0.094942,0.000045
SPX,CBOE,03/30/17,360,1302.91,45,P,0.299742,-0.01541
SPX,CBOE,03/30/17,360,3553.391,50,C,0.094942,0.00001
SPX,CBOE,03/30/17,360,1184.464,50,P,0.320101,-0.009604
SPX,CBOE,03/30/17,360,3671.837,55,C,0.094942,0.000002
SPX,CBOE,03/30/17,360,1066.017,55,P,0.331316,-0.004757
SPX,CBOE,03/30/17,360,3790.283,60,C,0.094942,0
SPX,CBOE,03/30/17,360,947.571,60,P,0.331316,-0.001587
SPX,CBOE,03/30/17,720,2368.927,0,C,0.156742,0.517742
SPX,CBOE,03/30/17,720,2368.927,0,P,0.160909,-0.443267
SPX,CBOE,03/30/17,720,2487.373,5,C,0.146801,0.424107
SPX,CBOE,03/30/17,720,2250.481,5,P,0.171947,-0.360405
SPX,CBOE,03/30/17,720,2605.82,10,C,0.137436,0.326677
SPX,CBOE,03/30/17,720,2132.034,10,P,0.182932,-0.288127
SPX,CBOE,03/30/17,720,2724.266,15,C,0.128802,0.232876
SPX,CBOE,03/30/17,720,2013.588,15,P,0.194053,-0.22663
SPX,CBOE,03/30/17,720,2842.712,20,C,0.121654,0.152575
SPX,CBOE,03/30/17,720,1895.142,20,P,0.205406,-0.175428
SPX,CBOE,03/30/17,720,2961.159,25,C,0.115976,0.091807
SPX,CBOE,03/30/17,720,1776.695,25,P,0.217109,-0.133636
SPX,CBOE,03/30/17,720,3079.605,30,C,0.114029,0.055104
SPX,CBOE,03/30/17,720,1658.249,30,P,0.229853,-0.100556
SPX,CBOE,03/30/17,720,3198.052,35,C,0.112982,0.032205
SPX,CBOE,03/30/17,720,1539.802,35,P,0.242218,-0.073899
SPX,CBOE,03/30/17,720,3316.498,40,C,0.112332,0.018315
SPX,CBOE,03/30/17,720,1421.356,40,P,0.255674,-0.053466
SPX,CBOE,03/30/17,720,3434.944,45,C,0.111698,0.010037
SPX,CBOE,03/30/17,720,1302.91,45,P,0.269363,-0.037649
SPX,CBOE,03/30/17,720,3553.391,50,C,0.111698,0.005542
SPX,CBOE,03/30/17,720,1184.464,50,P,0.284696,-0.026067
SPX,CBOE,03/30/17,720,3671.837,55,C,0.111698,0.002996
SPX,CBOE,03/30/17,720,1066.017,55,P,0.300697,-0.017433
SPX,CBOE,03/30/17,720,3790.283,60,C,0.111698,0.00159
SPX,CBOE,03/30/17,720,947.571,60,P,0.322761,-0.012044
SPX,CBOE,03/30/17,1080,2368.927,0,C,0.165562,0.519502
SPX,CBOE,03/30/17,1080,2368.927,0,P,0.167125,-0.424392
SPX,CBOE,03/30/17,1080,2487.373,5,C,0.157533,0.448881
SPX,CBOE,03/30/17,1080,2250.481,5,P,0.177672,-0.359001
SPX,CBOE,03/30/17,1080,2605.82,10,C,0.149942,0.375759
SPX,CBOE,03/30/17,1080,2132.034,10,P,0.187032,-0.300215
SPX,CBOE,03/30/17,1080,2724.266,15,C,0.142056,0.301745
SPX,CBOE,03/30/17,1080,2013.588,15,P,0.195837,-0.247554
SPX,CBOE,03/30/17,1080,2842.712,20,C,0.135194,0.232065
SPX,CBOE,03/30/17,1080,1895.142,20,P,0.205146,-0.20135
SPX,CBOE,03/30/17,1080,2961.159,25,C,0.129532,0.171015
SPX,CBOE,03/30/17,1080,1776.695,25,P,0.214548,-0.161259
SPX,CBOE,03/30/17,1080,3079.605,30,C,0.124838,0.120787
SPX,CBOE,03/30/17,1080,1658.249,30,P,0.226042,-0.128218
SPX,CBOE,03/30/17,1080,3198.052,35,C,0.121439,0.082864
SPX,CBOE,03/30/17,1080,1539.802,35,P,0.235862,-0.099266
SPX,CBOE,03/30/17,1080,3316.498,40,C,0.119641,0.056641
SPX,CBOE,03/30/17,1080,1421.356,40,P,0.247723,-0.076165
SPX,CBOE,03/30/17,1080,3434.944,45,C,0.117873,0.037471
SPX,CBOE,03/30/17,1080,1302.91,45,P,0.259253,-0.056871
SPX,CBOE,03/30/17,1080,3553.391,50,C,0.117873,0.025805
SPX,CBOE,03/30/17,1080,1184.464,50,P,0.272111,-0.041665
SPX,CBOE,03/30/17,1080,3671.837,55,C,0.117873,0.017574
SPX,CBOE,03/30/17,1080,1066.017,55,P,0.288504,-0.030532
SPX,CBOE,03/30/17,1080,3790.283,60,C,0.117873,0.011849
SPX,CBOE,03/30/17,1080,947.571,60,P,0.305311,-0.021573
SPY,NYSEArca,03/30/17,30,236.29,0,C,0.09375,0.5175
SPY,NYSEArca,03/30/17,30,236.29,0,P,0.090694,-0.48557
SPY,NYSEArca,03/30/17,30,248.104,5,C,0.084532,0.024571
SPY,NYSEArca,03/30/17,30,224.475,5,P,0.142115,-0.096803
SPY,NYSEArca,03/30/17,30,259.919,10,C,0.096169,0.000321
SPY,NYSEArca,03/30/17,30,212.661,10,P,0.204233,-0.032687
SPY,NYSEArca,03/30/17,30,271.733,15,C,0.096169,0
SPY,NYSEArca,03/30/17,30,200.846,15,P,0.257617,-0.012273
SPY,NYSEArca,03/30/17,30,283.548,20,C,0.096169,0
SPY,NYSEArca,03/30/17,30,189.032,20,P,0.303498,-0.004429
SPY,NYSEArca,03/30/17,30,295.362,25,C,0.096169,0
SPY,NYSEArca,03/30/17,30,177.217,25,P,0.33491,-0.001134
SPY,NYSEArca,03/30/17,30,307.177,30,C,0.096169,0
SPY,NYSEArca,03/30/17,30,165.403,30,P,0.33491,-0.000081
SPY,NYSEArca,03/30/17,30,318.991,35,C,0.096169,0
SPY,NYSEArca,03/30/17,30,153.588,35,P,0.33491,-0.000003
SPY,NYSEArca,03/30/17,30,330.806,40,C,0.096169,0
SPY,NYSEArca,03/30/17,30,141.774,40,P,0.33491,-0
SPY,NYSEArca,03/30/17,30,342.621,45,C,0.096169,0
SPY,NYSEArca,03/30/17,30,129.96,45,P,0.33491,-0
SPY,NYSEArca,03/30/17,30,354.435,50,C,0.096169,0
SPY,NYSEArca,03/30/17,30,118.145,50,P,0.33491,-0
SPY,NYSEArca,03/30/17,30,366.249,55,C,0.096169,0
SPY,NYSEArca,03/30/17,30,106.33,55,P,0.33491,-0
SPY,NYSEArca,03/30/17,30,378.064,60,C,0.096169,0
SPY,NYSEArca,03/30/17,30,94.516,60,P,0.33491,-0
SPY,NYSEArca,03/30/17,60,236.29,0,C,0.105931,0.518288
SPY,NYSEArca,03/30/17,60,236.29,0,P,0.104147,-0.48377
SPY,NYSEArca,03/30/17,60,248.104,5,C,0.08568,0.087498
SPY,NYSEArca,03/30/17,60,224.475,5,P,0.138909,-0.168879
SPY,NYSEArca,03/30/17,60,259.919,10,C,0.101344,0.011515
SPY,NYSEArca,03/30/17,60,212.661,10,P,0.177945,-0.06504
SPY,NYSEArca,03/30/17,60,271.733,15,C,0.113523,0.001394
SPY,NYSEArca,03/30/17,60,200.846,15,P,0.21993,-0.030082
SPY,NYSEArca,03/30/17,60,283.548,20,C,0.113523,0.000045
SPY,NYSEArca,03/30/17,60,189.032,20,P,0.26342,-0.015655
SPY,NYSEArca,03/30/17,60,295.362,25,C,0.113523,0.000001
SPY,NYSEArca,03/30/17,60,177.217,25,P,0.304779,-0.008223
SPY,NYSEArca,03/30/17,60,307.177,30,C,0.113523,0
SPY,NYSEArca,03/30/17,60,165.403,30,P,0.348257,-0.0046
SPY,NYSEArca,03/30/17,60,318.991,35,C,0.113523,0
SPY,NYSEArca,03/30/17,60,153.588,35,P,0.386522,-0.002296
SPY,NYSEArca,03/30/17,60,330.806,40,C,0.113523,0
SPY,NYSEArca,03/30/17,60,141.774,40,P,0.403382,-0.000659
SPY,NYSEArca,03/30/17,60,342.621,45,C,0.113523,0
SPY,NYSEArca,03/30/17,60,129.96,45,P,0.405644,-0.000098
SPY,NYSEArca,03/30/17,60,354.435,50,C,0.113523,0
SPY,NYSEArca,03/30/17,60,118.145,50,P,0.405644,-0.000008
SPY,NYSEArca,03/30/17,60,366.249,55,C,0.113523,0
SPY,NYSEArca,03/30/17,60,106.33,55,P,0.405644,-0
SPY,NYSEArca,03/30/17,60,378.064,60,C,0.113523,0
SPY,NYSEArca,03/30/17,60,94.516,60,P,0.405644,-0
SPY,NYSEArca,03/30/17,90,236.29,0,C,0.111827,0.506824
SPY,NYSEArca,03/30/17,90,236.29,0,P,0.111689,-0.489982
SPY,NYSEArca,03/30/17,90,248.104,5,C,0.089561,0.138949
SPY,NYSEArca,03/30/17,90,224.475,5,P,0.139948,-0.220405
SPY,NYSEArca,03/30/17,90,259.919,10,C,0.092856,0.020025
SPY,NYSEArca,03/30/17,90,212.661,10,P,0.171049,-0.099829
SPY,NYSEArca,03/30/17,90,271.733,15,C,0.108737,0.005095
SPY,NYSEArca,03/30/17,90,200.846,15,P,0.203423,-0.048723
SPY,NYSEArca,03/30/17,90,283.548,20,C,0.108737,0.000394
SPY,NYSEArca,03/30/17,90,189.032,20,P,0.237242,-0.025507
SPY,NYSEArca,03/30/17,90,295.362,25,C,0.108737,0.00002
SPY,NYSEArca,03/30/17,90,177.217,25,P,0.271661,-0.013952
SPY,NYSEArca,03/30/17,90,307.177,30,C,0.108737,0.000001
SPY,NYSEArca,03/30/17,90,165.403,30,P,0.305179,-0.007587
SPY,NYSEArca,03/30/17,90,318.991,35,C,0.108737,0
SPY,NYSEArca,03/30/17,90,153.588,35,P,0.34225,-0.004413
SPY,NYSEArca,03/30/17,90,330.806,40,C,0.108737,0
SPY,NYSEArca,03/30/17,90,141.774,40,P,0.382455,-0.002686
SPY,NYSEArca,03/30/17,90,342.621,45,C,0.108737,0
SPY,NYSEArca,03/30/17,90,129.96,45,P,0.398285,-0.000902
SPY,NYSEArca,03/30/17,90,354.435,50,C,0.108737,0
SPY,NYSEArca,03/30/17,90,118.145,50,P,0.402802,-0.000182
